No,Path,Date,Amount in word form,Amount in number form
1,check_1.png,1/12/1993,two hundred and forty-one,241
2,check_2.png,7/7/1983,three hundred and twenty-one,321
3,check_3.png,5/26/1967,eight hundred and forty-nine,849
4,check_4.png,7/2/2019,two hundred and sixty-five,265
5,check_5.png,2/22/1976,nine hundred and thirty-two,932
6,check_6.png,8/11/1946,six million twenty thousand,"6,020,000.00"
7,check_7.png,4/9/2018,seven million six hundred and ninety thousand,"7,690,000.00"
8,check_8.png,4/13/2017,eight hundred and thirty-one,831
9,check_9.png,4/20/1998,five million six hundred and eighty thousand,"5,680,000.00"
10,check_10.png,6/8/2026,four hundred and ninety-one,491
11,check_11.png,6/9/1965,one million six hundred and ten thousand,"1,610,000.00"
12,check_12.png,6/1/2023,five million four hundred and ninety thousand,"5,490,000.00"
13,check_13.png,6/11/1958,eight hundred and nineteen,819
14,check_14.png,11/20/1943,four hundred and forty-six,446
15,check_15.png,11/2/1955,one hundred and four,104
16,check_16.png,10/23/1970,eight million five hundred and seventy thousand,"8,570,000.00"
17,check_17.png,7/15/1984,two hundred and thirty-seven,237
18,check_18.png,8/18/1977,two million five hundred and fifty thousand,"2,550,000.00"
19,check_19.png,1/7/1967,two hundred and thirty-seven,237
20,check_20.png,11/1/1943,five hundred and twenty,520
21,check_21.png,1/10/1974,five million four hundred and eighty thousand,"5,480,000.00"
22,check_22.png,3/9/1978,eight hundred and thirty-two,832
23,check_23.png,1/7/1982,seven hundred and sixty-one,761
24,check_24.png,10/3/1960,four hundred and forty-nine,449
25,check_25.png,5/3/2015,four hundred and fourteen,414
26,check_26.png,3/4/1943,one hundred and five,105
27,check_27.png,10/24/1989,three million seven hundred and forty thousand,"3,740,000.00"
28,check_28.png,7/17/1988,three hundred and five,305
29,check_29.png,10/3/1968,one million five hundred and seventy thousand,"1,570,000.00"
30,check_30.png,7/2/1990,eight million four hundred and forty thousand,"8,440,000.00"
31,check_31.png,1/27/2016,four million two hundred thousand,"4,200,000.00"
32,check_32.png,1/16/2010,three hundred and fifteen,315
33,check_33.png,3/16/1957,nine hundred and eighteen,918
34,check_34.png,1/4/1952,eight million two hundred and twenty thousand,"8,220,000.00"
35,check_35.png,7/2/1955,five million one hundred and eighty thousand,"5,180,000.00"
36,check_36.png,7/22/2023,seven million seven hundred and ten thousand,"7,710,000.00"
37,check_37.png,11/27/1996,two hundred and twenty-five,225
38,check_38.png,4/14/1955,one hundred and thirty-nine,139
39,check_39.png,8/14/1986,six hundred and eighty-two,682
40,check_40.png,11/20/1948,five million one hundred and thirty thousand,"5,130,000.00"
41,check_41.png,5/12/1955,nine hundred and seventeen,917
42,check_42.png,10/13/1985,two hundred and forty thousand,"240,000.00"
43,check_43.png,1/6/2012,seven hundred and ninety-six,796
44,check_44.png,10/6/1988,one hundred and ten,110
45,check_45.png,10/16/2010,six million eight hundred and ten thousand,"6,810,000.00"
46,check_46.png,11/2/1998,six hundred and sixty-three,663
47,check_47.png,6/11/2026,eight million sixty thousand,"8,060,000.00"
48,check_48.png,7/21/1947,five million two hundred thousand,"5,200,000.00"
49,check_49.png,2/25/2027,seven million seven hundred and ninety thousand,"7,790,000.00"
50,check_50.png,11/14/1991,four million two hundred and eighty thousand,"4,280,000.00"
51,check_51.png,5/14/1989,one hundred and ten,110
52,check_52.png,5/1/2010,six million two hundred and fifty thousand,"6,250,000.00"
53,check_53.png,9/16/1982,five hundred and twenty thousand,"520,000.00"
54,check_54.png,9/4/1958,three hundred and eighteen,318
55,check_55.png,5/26/1946,one hundred and twenty-nine,129
56,check_56.png,8/21/1941,four hundred and eighty,480
57,check_57.png,3/8/1936,three million eight hundred and ten thousand,"3,810,000.00"
58,check_58.png,6/27/1964,seven million six hundred and thirty thousand,"7,630,000.00"
59,check_59.png,9/22/1968,seven million six hundred and seventy thousand,"7,670,000.00"
60,check_60.png,3/17/1983,five hundred and eighty-nine,589
61,check_61.png,10/19/2010,six hundred and sixty,660
62,check_62.png,1/22/1980,five hundred and eighty,580
63,check_63.png,3/19/1976,six million five hundred and sixty thousand,"6,560,000.00"
64,check_64.png,8/26/1945,seven million three hundred and ten thousand,"7,310,000.00"
65,check_65.png,6/21/1964,four hundred and ninety-four,494
66,check_66.png,5/4/1986,four hundred and fifty-one,451
67,check_67.png,4/13/1957,nine hundred and five,905
68,check_68.png,1/6/1967,six hundred and forty-nine,649
69,check_69.png,4/13/2016,eight million one hundred thousand,"8,100,000.00"
80,check_70.png,4/7/1945,five hundred and twenty-five,525
72,7mill.jpg,11/31/2019,seven million,"7,000,000.00"
73,10-05.jpg,11/12/2013,ten dollars five cents,10.05
74,42001.jpg,7/4/1976,forty two thousand and one dollar,"42,001.00"
75,blankcheck.jpg,3/1/2001,nine-hundred ninety nine thousand,"999,000.00"
76,blankcheck2.jpg,3/18/1998,five hundred,500
77,five.jpg,12/24/2024,five,5
78,onemillthree.jpg,1/2/2003,one million and three,"1,000,003.00"
79,image_11.jpg,6/20/2019,forty six and 00/100,46
80,image_12.jpg,3/13/2020,twenty three only,23
90,image_13.jpg,4/12/2019,ninety three and 00/100 only,93
91,image_14.jpg,5/27/2020,one hundred thirteen only,113
92,image_15.jpg,4/9/2020,one hundred ten only,110
93,image_16.jpg,2/24/2019,two hundred ninety three and 25/100,293.25
94,image_17.jpg,7/10/2020,thirty four and 55/100 only,34.55
95,image_18.jpg,8/7/2020,sixty seven only,67
96,image_19.jpg,3/20/2019,one hundred seventy eight only,178
97,image_20.jpg,8/10/2020,thirteen and 55/100,13.55
98,image_21.jpg,9/2/2019,seventy six and 23/100,76.23
99,image_22.jpg,11/25/2020,ninety eight only,98
100,image_23.jpg,10/11/2019,sixty eight only,68
101,image_24.jpg,11/26/2019,twenty five and 68 / 100 only,25.68
102,image_25.jpg,8/9/2020,thirty two only,32
103,image_26.jpg,11/20/2020,one hundred fifty five and 55/100 only,155.55
104,image_27.jpg,12/8/2019,eighty six only,86
105,image_28.jpg,6/6/2020,one hundred twenty only,120
106,image_29.jpg,5/10/2019,forty nine only,49
107,image_30.jpg,8/4/2019,ninety nine and 99/100 only,99.99
108,image_31.jpg,4/4/2020,thirty two only,32
109,image_32.jpg,1/17/2020,seventy and 23/100 only,70.23
110,image_33.jpg,3/7/2019,one hundred seventy six and 23/100 only,176.23
111,image_34.jpg,6/20/2020,one hundred eight only,108
112,image_35.jpg,7/13/2019,twenty four only,24
113,image_36.jpg,4/28/2020,one hundred three and 5/100,103.05
114,image_37.jpg,3/9/2019,twenty three and 10/100 only,23.1
